smiles,smiles_emb,pIC50,norm_pIC50,stand_pIC50,FGs,num_FG
Cc1nc(N)c2nn(-c3ccccc3)cc2n1,"[32, 1, 2, 3, 11, 2, 5, 15, 6, 2, 4, 11, 11, 5, 23, 2, 14, 2, 2, 2, 2, 2, 14, 6, 2, 2, 4, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",6.61,0.42105263157894757,-0.34117361538620866,"[4, 7, 11, 12, 25]",5
Cc1ccc(C(=O)Nc2nc(-c3ccccc3)n[nH]2)cc1,"[32, 1, 2, 3, 2, 2, 2, 5, 1, 5, 8, 9, 6, 15, 2, 4, 11, 2, 5, 23, 2, 14, 2, 2, 2, 2, 2, 14, 6, 11, 10, 11, 12, 13, 4, 6, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",6.52,0.3961218836565097,-0.4158497906083892,"[8, 11, 13, 16, 26, 29]",6
COc1cccc(CNC(=O)c2nc(N)nc3c(OC)cccc23)n1,"[32, 1, 9, 2, 3, 2, 2, 2, 2, 5, 1, 15, 1, 5, 8, 9, 6, 2, 4, 11, 2, 5, 15, 6, 11, 2, 14, 2, 5, 9, 1, 6, 2, 2, 2, 2, 4, 14, 6, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",9.1,1.110803324099723,1.7248672324274357,"[2, 11, 12, 15, 19, 22, 24, 29, 39]",9
CCCOc1cncc2[nH]c3c(=O)n(CCC)c(=O)n(CCC)c3c12,"[32, 1, 1, 1, 9, 2, 3, 2, 11, 2, 2, 4, 10, 11, 12, 13, 2, 14, 2, 5, 8, 9, 6, 11, 5, 1, 1, 1, 6, 2, 5, 8, 9, 6, 11, 5, 1, 1, 1, 6, 2, 14, 2, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",6.79,0.4709141274238228,-0.191821264941849,"[4, 8, 13, 18, 21, 29, 32]",7
Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,"[32, 15, 2, 3, 11, 2, 4, 2, 2, 2, 5, 19, 6, 2, 2, 4, 2, 4, 11, 2, 5, 23, 2, 14, 2, 2, 2, 17, 14, 6, 11, 11, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",9.28,1.1606648199445984,1.8742195828717954,"[1, 4, 11, 17, 26, 27, 28]",7
CCCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)N4CCN(c5cccc(Cl)c5)CC4)cc3)[nH]c2c1=O,"[32, 1, 1, 1, 11, 3, 2, 5, 8, 9, 6, 10, 11, 12, 13, 2, 4, 11, 2, 5, 23, 2, 14, 2, 2, 2, 5, 22, 5, 8, 9, 6, 5, 8, 9, 6, 15, 21, 1, 1, 15, 5, 2, 24, 2, 2, 2, 2, 5, 19, 6, 2, 24, 6, 1, 1, 21, 6, 2, 2, 14, 6, 10, 11, 12, 13, 2, 4, 2, 3, 8, 9, 0, 33]",6.0,0.2520775623268699,-0.8473121363365396,"[56, 4, 64, 9, 12, 15, 27, 30, 24, 25, 38, 46]",12
Nc1nc(C(=O)NCCc2ccccn2)c2cccc(F)c2n1,"[32, 15, 2, 3, 11, 2, 5, 1, 5, 8, 9, 6, 15, 1, 1, 2, 4, 2, 2, 2, 2, 11, 4, 6, 2, 4, 2, 2, 2, 2, 5, 16, 6, 2, 4, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",7.85,0.7645429362880887,0.687698132119381,"[1, 4, 7, 10, 12, 21, 31, 35]",8
CCCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)N4CCN(c5ccc(O)cc5)CC4)cc3)[nH]c2c1=O,"[32, 1, 1, 1, 11, 3, 2, 5, 8, 9, 6, 10, 11, 12, 13, 2, 4, 11, 2, 5, 23, 2, 14, 2, 2, 2, 5, 22, 5, 8, 9, 6, 5, 8, 9, 6, 15, 21, 1, 1, 15, 5, 2, 24, 2, 2, 2, 5, 9, 6, 2, 2, 24, 6, 1, 1, 21, 6, 2, 2, 14, 6, 10, 11, 12, 13, 2, 4, 2, 3, 8, 9, 0, 33]",7.01,0.5318559556786704,-0.00927950328763159,"[58, 4, 64, 9, 12, 15, 27, 30, 24, 25, 38, 45]",12
COc1ccc(-n2ccnc2SCC(=O)c2c(N)n(C3CC3)c(=O)[nH]c2=O)cc1,"[32, 1, 9, 2, 3, 2, 2, 2, 5, 23, 11, 4, 2, 2, 11, 2, 4, 22, 1, 1, 5, 8, 9, 6, 2, 4, 2, 5, 15, 6, 11, 5, 1, 14, 1, 1, 14, 6, 2, 5, 8, 9, 6, 10, 11, 12, 13, 2, 4, 8, 9, 6, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",4.6,-0.13573407202216076,-2.0089415286815613,"[2, 9, 13, 15, 18, 19, 26, 28, 38, 41, 45]",11
CCCn1c(=O)c2c(ncn2C)n(CCC)c1=O,"[32, 1, 1, 1, 11, 3, 2, 5, 8, 9, 6, 2, 4, 2, 5, 11, 2, 11, 4, 1, 6, 11, 5, 1, 1, 1, 6, 2, 3, 8, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",6.22,0.31301939058171746,-0.6647703746823221,"[4, 9, 15, 17, 21, 30]",6
c1ccc(-c2nc(-c3ccccc3)c3nc(C4CCCC4)nc-3[nH]2)cc1,"[32, 2, 3, 2, 2, 2, 5, 23, 2, 4, 11, 2, 5, 23, 2, 14, 2, 2, 2, 2, 2, 14, 6, 2, 14, 11, 2, 5, 1, 21, 1, 1, 1, 1, 21, 6, 11, 2, 23, 14, 10, 11, 12, 13, 4, 6, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",7.26,0.6011080332409973,0.19815431677397935,"[32, 8, 20, 36]",4
