smiles,pIC50
CCOC(=O)c1cnc(OCC)n2nc(-c3ccco3)nc12,5.73
Cn1cc2c(nc(NC(=O)Nc3ccc(C(F)(F)F)cc3)n3nc(-c4ccco4)nc23)n1,6.85
COCc1cc(C)nc2sc(-c3nc(N)nc(N(C)C)n3)c(N)c12,5.8
CCOC(=O)Nc1cc(-c2cncc(OC)c2)nc(-n2nc(C)cc2C)n1,6.71
CN(CCN1CCN(c2ccc(F)cc2F)CC1)c1cc2nc(-c3cnco3)nn2c(N)n1,9.52
C#CCn1c(=O)c2c(nc3n2CCCN3CC2CCCCC2)n(C)c1=O,6.29
Oc1cc(-c2ccccc2)nc2nc(Oc3ccccc3)ccc12,5.72
Nc1nc(-c2ccco2)c2ncn(Cc3cc4c(cc3Cl)OCO4)c2n1,8.2
COC(=O)CN(C(C)=O)c1ccc(OC)c2nc(NC(=O)c3ccc(F)cc3)sc12,8.3
CCCCc1nc2[nH]ncc2c2nc(-c3ccc(OC)cc3)nn12,5.58
Fc1ccc(CNc2nc(-c3ccccc3)cc(C(F)(F)F)n2)cc1,6.54
N#Cc1c(NC(=O)C2CCCC2)nc(-c2ccccc2)nc1-c1ccccc1,6.55
CCCn1cc2c(nc(NC(=O)Nc3ccccc3OC)n3nc(-c4ccco4)nc23)n1,7.0
CCC(=O)Nc1cnc(-c2ccncc2)c(-c2ccco2)n1,7.26
O=c1oc2c(O)c(O)ccc2cc1-c1ccc(O)cc1,4.26
CC(C)CCn1cc2c(nc(NC(=O)Cc3ccsc3)n3nc(-c4ccco4)nc23)n1,8.41
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(-c5ccccc5)cc4)cc3)cc2n(C)c1=O,5.5
Nc1nc(-c2cccs2)nc2cn(-c3ccccc3)nc12,6.94
Nc1nc(NCCc2ccc(O)cc2)nc2sc(-c3ccccc3)nc12,7.02
CC(O)Cn1c(Br)nc2c(N)ncnc21,5.96
Cn1c(=O)c2nc[nH]c2n(C)c1=O,5.1
O=C(Nc1ccc(-c2ccncc2)c(-c2cccnc2)n1)C1CC1,5.83
CC(=O)Nc1cc(-c2cccc(OC3CCN(C)C3)c2)nc(-n2nc(C)cc2C)n1,8.7
COc1ccc(CCNc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)cc1OC,7.03
Nc1nc2c(ncn2CCN2CCN(c3ccc(Cl)cn3)CC2)c2nc(-c3ccco3)nn12,9.05
COC(=O)c1cnc2c(cnn2CC(Cl)c2ccccc2)c1NCCc1ccccc1,5.91
COc1cc(NC(=O)CC(C)(C)C)ccc1C(=O)Nc1nccs1,7.3
CCCc1cc2c(=O)c(-c3nc(C)cs3)coc2cc1O,7.6
CCCCn1cc2c(nc(NC(=O)Cc3ccsc3)n3nc(-c4ccco4)nc23)n1,8.5
COc1ccc(NC(=O)Nc2nc3nn(CCC(C)C)cc3c3nc(-c4ccco4)nn23)cc1,7.19
Cc1ccc2cc(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)ccc2n1,8.62
Nc1nc(-c2ccc(OCCO)cc2)cn2c(=O)n(-c3ccccc3)nc12,6.6
COC(=O)c1cccc(CSc2nc(N)c(C#N)c(-c3cccs3)c2C#N)c1,6.16
CC(C)(C)C(=O)c1cc2c([nH]c1=O)CC(c1ccccc1)CC2=O,4.8
Nc1nc(-c2cccs2)c2nnn(Cc3ccccc3F)c2n1,8.09
Nc1nc(-c2ccco2)c2nnn(Cc3cccc(F)c3F)c2n1,8.64
Nc1nc(-c2ccc(C3CC3)o2)nc2sc(Cc3ccccc3)cc12,6.58
Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCN(c5ccc(Br)cc5)CC4)cc3)cc2n(C)c1=O,6.94
Nc1cc(C(=O)N2CCCC2)cn2nc(-c3ccco3)nc12,7.24
CN1CCN(c2ncnc3sc(Nc4ccccc4)nc23)CC1,5.55
O=C(Nc1ccc(-c2ccncc2)c(-c2ccccn2)n1)C1CC1,6.06
CN(C)CCN(C)Cc1ccc2c(c1)-c1nc(N)nc(-c3ccccc3)c1C2=O,8.11
CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,7.25
CN1CCN(C(=O)c2ccc3c(c2)-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1,8.09
Cn1c(=O)c2c(ncn2C)n(C)c1=O,4.63
Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,6.42
CN(C)CCN(C)Cc1cccc2c1-c1nc(N)nc(-c3ccccc3)c1C2=O,7.4
Cc1cccc(-c2cc(C(=O)NCc3ncccc3C)nc(N)n2)c1,8.05
Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,9.22
Nc1ncnc2c1nc(Br)n2C1CCC1,6.18
CCn1cc2c(nc(NC(=O)Nc3cccc(OC)c3)n3nc(-c4ccco4)nc23)n1,6.85
CC(=O)Oc1cccc2cc(-c3cccs3)c(=O)oc12,4.73
CN(C)c1nc(-c2ccco2)c(C(=O)c2ccccc2)s1,5.17
CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ncco1,8.7
NCCCCNC(=O)COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,8.19
CCCNc1c(C(=O)OC)cnc2c1cnn2CC(Cl)c1ccccc1,5.12
CCNc1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1,6.14
O=C(Cc1ccc(Cl)cc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,7.05
Nc1nc(-c2ccccc2)nc2cn(Cc3ccccc3)nc12,6.52
Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12,7.38
Nc1nc(NCCN2CCN(c3ccc(F)cc3F)CC2)nc2nc(-c3ccco3)nn12,9.42
Cn1nc(-c2ccc(N=[N+]=[N-])cc2)nc1-c1cccc(CN2CC=CC2)c1,6.4
O=C(Nc1cnc(-c2ccncc2)c(-c2ccccn2)n1)C1CC1,6.51
CCOc1ccccc1-c1cc(C(=O)NCc2ccccn2)nc(N)n1,6.6
Nc1nnc(-c2ccccc2)c(-c2ccccc2)n1,6.93
Nc1nc(OCCN2CCN(c3ccc(F)cc3F)CC2)cc2nc(-c3ccco3)nn12,8.22
CCn1c(=O)n(CC(C)C)c(=O)c2[nH]c(-c3cn[nH]c3)nc21,5.91
COc1ccc(CC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)cc1,7.2
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)O)cc3)c(Cl)c2n(CCC)c1=O,6.4
O=C(Cc1ccc2ccccc2c1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,7.38
Cn1c(=O)c2c(ncn2C)n(C)c1=O,4.74
Cn1c(-c2ccccc2)nc2c(NC3CCOC3)ncnc21,5.74
Nc1nc2ccccc2n2c(=O)n(-c3ccccc3)nc12,7.31
CCCn1c(=O)c2[nH]c(-c3ccc(C(=O)O)cc3)c(O)c2n(CCC)c1=O,6.03
O=C(Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccccc2)n1)C1CCCC1,6.47
N#Cc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,7.07
Nc1nc(-c2ccco2)c2nnn(Cc3ccccc3N)c2n1,8.7
Cc1nc(NC(=O)c2ccc(NC(=O)CC(C)(C)C)cc2)sc1C,6.66
Cn1c(=O)c2c(nc3n2CCCN3c2cc(Cl)cc(Cl)c2)n(C)c1=O,5.34
COc1cccc(-c2n[nH]c(Cc3ccc(F)c(F)c3)n2)c1,7.16
Cn1c(=O)c2[nH]c(-c3ccc(COC(=O)NCc4ccccc4)cc3)cc2n(C)c1=O,6.0
Nc1nc(NC(=O)c2ccccc2F)c([N+](=O)[O-])c(-c2ccco2)n1,7.64
Nc1nc(NCCc2ccc(Br)cc2)nc2nc(-c3ccco3)nn12,6.74
Nc1nc2c(cnn2CCCc2ccc(OCCO)cc2)c2nc(-c3ccco3)nn12,7.62
CCCn1c(Br)nc2c(N)nc(NCc3ccccc3)nc21,7.44
Cc1cccc(-n2cc3c(n2)c(NC(=O)c2ccccc2)nc2ccccc23)c1,5.54
COc1cccc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)c1,6.8
CC(=O)c1snc(Nc2cc(Cl)ccc2F)c1N,4.39
Oc1cc(-c2ccccc2)nc2nc(Br)ccc12,7.18
Nc1nc(C(=O)NCc2ccccn2)cc(-c2cccc(F)c2)n1,7.75
CCCn1c(=O)c2nc(-c3cc(OCC(=O)c4ccc(Br)cc4)n(C)n3)[nH]c2n(CCC)c1=O,7.03
CCCCOc1ccnc2c(CNC(=O)c3nc(N)nc4c(F)cccc34)cccc12,6.61
Nc1nc(NCc2cccs2)nc2sc(-c3cccs3)nc12,7.88
Cn1cc2c(nc(NC(=O)Nc3ccc(F)cc3)n3nc(-c4ccc(Br)cc4)nc23)n1,5.23
N=C(NC(=O)C(Cc1ccccc1)N1C(=O)c2ccccc2C1=O)Nc1nc2ccccc2o1,5.4
O=C(Cc1ccccc1)Nc1nn2c(-c3ccco3)nnc2s1,5.29
C#CCCCOc1cc(C)c2c(=O)c(-c3nc(C)cs3)coc2c1,7.6
CCn1c(=O)c2[nH]c(-c3ccc(-c4ccccc4)cc3)nc2n(CCCOC)c1=O,6.28
Nc1nc(-c2nccs2)c2cnn(Cc3ccccc3F)c2n1,7.77
Cn1c(=O)n(CCN2CCN(c3ccc(OC4CCOCC4)cc3)CC2)c2nc(N)n3nc(-c4ccco4)nc3c21,9.52
CC(C)CCn1cc2c(nc(NC(=O)Cc3c(Cl)cccc3Cl)n3nc(-c4ccco4)nc23)n1,7.73
Nc1cc(-c2ccc(F)cc2)c2oc(-c3ccco3)nc2c1,6.36
Nc1nc(-c2cccc(Cl)c2)nc2sc(CN3CCOCC3)cc12,6.92
Nc1nc2ccccc2c2cc(-c3ccco3)nn12,7.1
COc1cccc(-c2nc(N)c3cc(CN4CCC(F)CC4)sc3n2)c1,6.52
Nc1nc(NCc2ccsc2)nc2sc(-c3ccco3)nc12,9.39
CCC(=O)Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1,6.26
Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,9.4
COc1ccccc1Cn1c(=O)n(-c2cccc(C#N)c2)c2nc(NC3CC3)ncc21,5.59
